,1.1 New Implementation,1.2 Iterative Modification,1.3 Alignment Correction,2.1 Log Paste,2.2 Symptom Description,2.3 Error Persistence,3.1 Planning & Decision Consultation,3.2 Project Comprehension,3.3 General Knowledge Query,4.1 Information Injection,4.2 Behavior Specification,5.1 Code Review,5.2 Runtime Inspection,6.1 Documentation,6.2 Toolchain Operation,7.1 Confirmation,7.2 Continuation,7.3 Deferred Debugging,7.4 Deferred Implementation,7.5 Sentiment Expression
1.1 New Implementation,4.001197585885714,0.6519749937919694,0.14549556818149645,0.33121619010750286,0.38257229433889783,0.39547453096312796,0.41548251613879156,0.5684469309205393,0.4965573501664814,1.278162411334328,0.8048970087490089,0.389577967417094,0.5331677987106954,0.45140316217611653,0.3828735611091462,0.0,0.45831103977171384,0.21272817730507612,0.8800032096014085,0.45515027398018465
1.2 Iterative Modification,0.9088437627737591,1.6292178682019636,1.5468362722186813,0.7885251127042787,0.9702974280178743,0.5935747558612547,0.7343663027773721,0.8987473637576456,0.7875969650704638,0.7592060894751839,0.7241793819716308,0.8193663846641398,0.3790030433224063,0.8606470374546361,0.72557795556301,0.7190458424660727,0.31019443961604576,0.7538732734639784,0.8740670727781217,0.9725301641722156
1.3 Alignment Correction,0.6445842370190145,1.2587040977412713,2.405402499494029,0.7209857914595245,1.1475460545992051,0.2120489052701067,1.2394546034084952,1.3319342695057792,0.8464961221831396,0.8106193951373935,0.8771793166723002,1.1187266172369223,1.9296795736102943,1.0003229108001315,0.7154309647518572,2.311850259896041,0.893604073522106,0.3421872225838906,1.17961905647697,0.8498042679479929
2.1 Log Paste,0.6486277199693908,0.927547936752421,1.1633131699788417,3.1000673270361436,1.2374064379952558,1.0147896530375755,0.8326699513621826,0.7688445806871402,0.6081807026438397,0.9166490118383903,0.6896539186284181,0.8747243928504417,0.9636262035996235,0.682840271458955,0.8404501182806559,0.0,0.3984286121280599,1.056123496227538,0.8951518379363222,0.489655025387726
2.2 Symptom Description,0.6934693935477162,1.1380422019928937,1.8163149909207177,1.2482060318393302,1.8452261128745107,1.7972766239998237,0.8609112636406497,0.8660456939705873,0.892579254098989,0.9633494286771077,0.7279980375416291,0.8528186989399295,0.9342159618235296,0.7361072924079516,0.6171543691450694,1.935278894135311,0.13024035992097485,0.5415680614736734,0.914865553358622,1.108114001279891
2.3 Error Persistence,0.8950665200903909,1.1135016995014195,1.342870207067738,1.1140967427186241,1.9260003181667347,1.194572765042564,0.8633558026009942,0.9863255174638753,0.896681823633965,0.7363938790211854,0.8246080421632628,0.68931640051972,1.2078674130791391,0.42429500340462123,0.8509663690021912,4.341252243691268,0.5393677030040667,0.1070946702715656,0.2606022576740001,0.9001860974274766
3.1 Planning & Decision Consultation,0.7041964532527649,0.6712869858440782,0.41569103225154186,0.9072273007205905,1.0372018575709476,1.807837509389256,2.2950480182488353,1.1874086203772716,2.174310638582487,1.0050029636717914,0.9367229383072713,1.1177086676307018,0.8073478110097125,0.867066819708725,1.0431945460733971,3.284973035353648,1.1337028152314776,0.3646675842495476,0.8545098232520716,0.22705330865049733
3.2 Project Comprehension,0.5137830863665575,0.7397825686923449,0.8516861380396056,1.1181200486587053,1.1731339077404177,1.6204900680149543,1.4592843883647133,2.1359701224091974,1.927264120931391,0.7787001882485556,1.0310592030912227,1.0686717350339283,2.434379759380305,0.8674865751826742,0.9738804855838772,0.0,1.254301403294692,0.4047046495287477,0.050502618727092295,0.5074874643215305
3.3 General Knowledge Query,0.6842299046924032,0.835865180184253,0.0,0.545117060005571,0.4034296759753264,1.5349300238093264,1.3266104457945398,2.1161823912095845,5.03635367288601,0.7317230645764845,0.9606285615960329,0.6959198641835368,0.0,1.0824303906296482,1.106337862085441,0.0,0.34652208113271155,0.4128241399775987,0.3348529627343919,0.4731818763053578
4.1 Information Injection,1.2468682211007185,0.8604084005428926,0.9302369587144566,0.7206503823719842,0.9563568353306189,0.7585489294215199,1.052082300936907,0.8111884096380977,0.9034938806707683,1.8467734991987477,0.9599946441126064,0.7560500004700745,0.5857022012042087,1.0568713794418545,0.7983561482460967,1.0024282969738931,1.0482463580224473,0.7789627831177999,1.6698576791830853,0.25510071833335624
