,1.1 New Implementation,1.2 Iterative Modification,1.3 Alignment Correction,2.1 Log Paste,2.2 Symptom Description,2.3 Error Persistence,3.1 Planning & Decision Consultation,3.2 Project Comprehension,3.3 General Knowledge Query,4.1 Information Injection,4.2 Behavior Specification,5.1 Code Review,5.2 Runtime Inspection,6.1 Documentation,6.2 Toolchain Operation,7.1 Confirmation,7.2 Continuation,7.3 Deferred Debugging,7.4 Deferred Implementation,7.5 Sentiment Expression
1.1 New Implementation,2.627038434852441,1.2432827842395795,1.2560541164810932,0.8157746337650593,0.896637587377751,0.36783572535200204,0.7891175702053472,0.7138780545025654,0.9179225038749158,0.8815231308532162,0.8282236749705008,0.8210559590827472,0.876551708827376,0.6895993556573855,0.8079511598635947,0.5491574791422027,1.3267347986756834,1.208475454336541,1.1521400290356003,0.49176618293016366
1.2 Iterative Modification,0.7603365326062598,1.883261570778381,1.5671348882804539,0.764835512171282,1.0776214205583663,1.0039967387195063,0.6365357216411371,0.6953805511761663,0.4380376987681425,0.5945085423404349,0.7287053528092662,0.6316114570250686,0.5112845695476955,0.5939230817961,0.7684161801752398,0.6427583392395314,0.6942223780614983,0.6470548521709087,0.9137531169187411,0.7711400400950735
1.3 Alignment Correction,0.6719891808861771,1.2634522752686994,2.214834529847463,0.6718420688086153,1.04284306951562,1.0806922952383742,0.9455141305000287,1.0288265199080402,0.6546787321332066,0.9765479420561314,0.8217514432536357,0.8164654546037148,1.1290487550251758,0.8299058894663272,0.7161731704096344,0.9167404316712429,0.5842937527877043,0.46526713266462827,0.6159944179281887,1.7981807770065723
2.1 Log Paste,0.49035042755863095,0.7082682697695201,0.6854774953809022,4.404357709117322,1.240993967874473,1.4434231961389379,0.5613050225255893,0.6665960720057986,0.5147544396129773,0.8912201121443046,0.5749429207238071,0.7145423723713106,1.0427496323556429,0.2773947575751742,0.5847819773556897,1.020891608988919,0.457558679814426,1.1611522580057194,0.9523205806482405,1.0312845840861011
2.2 Symptom Description,0.54904191056112,0.9729315935632569,1.0700277271866465,1.316239281668912,1.802300714898036,2.872306686492405,0.6489137854648394,0.8276787293283772,0.592295744372582,0.8746242813475689,0.5777240161205326,0.8992340905960086,0.9856999521456443,0.402692049416257,0.7136212243964504,1.1152275561272067,0.6375696822767053,0.9194325687149358,0.753620909396892,0.9813776311153741
2.3 Error Persistence,0.4731853644203392,0.8662172824791995,1.0699045834475276,1.2334737077518512,1.6964486961457983,5.189613460619711,0.49628789261903933,0.6979939974087005,0.4231669852007924,1.012382467539919,0.5523180700616321,0.7265927052722445,1.1890756822683053,0.31646397957919364,0.6276085994783913,1.3630770579888067,0.5073142128398992,0.6842383675309284,0.42137330553291663,1.8646358794552838
3.1 Planning & Decision Consultation,1.117158615207439,0.7124395991007154,0.8399660200585365,0.47638735392316195,0.5810185237464947,0.33813336431066465,2.626856258296673,1.1352061853346087,1.417614147891983,1.1183155804860105,1.185796545316917,1.0959291778850415,0.5503957983247724,1.340316952936286,0.9772492312041418,1.37716799989585,0.9926797639006331,0.957726710408636,0.8306354926584938,0.7889926873155111
3.2 Project Comprehension,0.749787094646478,0.7423407972864586,1.1181154735563368,0.4641077710269952,0.7611421584170444,0.5440260564733866,1.5739743327358304,2.738005771526782,1.4500125287158108,0.9287921536026068,0.8546031815820162,1.232551172761058,1.12625058373942,0.9210930979240234,0.8398482480878176,0.9864800186457531,0.6289420414946665,0.5708142093029036,0.7823820964248662,0.9571978300615016
3.3 General Knowledge Query,1.1851416814225832,0.4617155372505415,0.5563901114917722,0.5359080754931382,0.6212589810917518,0.3058219303630724,1.6420147735183592,1.3998404481026427,8.182651345753586,1.2034953686120633,0.5842618696756777,0.7933026484177941,0.6302331723691648,0.7366717619023174,0.5781819943897711,0.6879309312098975,0.39295701568466,0.7359608584368881,0.20248283856859636,0.9567608210127929
4.1 Information Injection,0.8646489138353073,0.7243651474979103,1.16846064132042,0.8060888898550195,0.8456436590056424,0.7113493595649009,1.0597066703960778,0.8599409184277745,0.9956244125219942,2.409880289882545,1.201995918050945,0.8620433156583343,1.1131740595030175,1.188393229878801,1.0393023002985398,1.0001878299135385,1.026788803476971,0.7500808180411875,0.7857772611269846,0.8879879990984635
4.2 Behavior Specification,0.60700709068922,0.7427127176699292,1.0808862533233075,0.5303807314222334,0.6813719627095811,0.5406128570561655,1.066081691994847,0.9291820497233835,0.532256409028832,0.9937675561412076,3.0905961583596198,0.9802630768686452,1.1412872942443693,1.3600337976636223,1.2444968887330075,1.3185753148051707,1.776415315020294,0.7766189994329582,0.9041699424260472,1.0249427401349454
5.1 Code Review,0.7300530728267346,0.9079445708878372,0.9772560936682889,0.5574616222888472,0.7973185118433337,0.41247123830131505,1.2145582986229602,1.279741661770953,0.8596378688736359,0.8045215717538453,1.185617643900481,4.644296303436655,0.6155112663909699,0.8928627215968531,1.1050770790323827,1.0749394491987387,1.078778281671223,0.3588428740610826,1.1444154532099686,0.9872929843601796
5.2 Runtime Inspection,0.6430205482072994,0.6165586763159482,0.8662724329677247,0.7890308269894989,1.2164405540174603,1.1784694183923083,0.8029378816662216,1.1632925860217826,0.6370980754198476,1.0900397766960768,1.1346071533696998,0.6672063476857126,5.67174877803285,0.7984490427406541,1.8779922472222734,1.0827649223986224,0.8342805111552718,0.8679310787518472,1.0073746144225086,0.9387486672015765
6.1 Documentation,0.8394784729434662,0.7028871807809829,0.9929441587714448,0.30844982485876293,0.36510630700568436,0.1694557152572014,1.0934406297946482,0.8605810666064254,0.9099227861569478,1.0134334193143937,1.3528357513998455,1.012637971170195,0.5490063305961408,5.216839905605517,1.2803453691367268,0.5979742273843777,1.0181395734525156,0.4131489857551685,0.8108354216434651,0.5009413337648786
6.2 Toolchain Operation,0.6518212387106601,0.5851202329984823,0.7983323385241777,0.7594067959347449,0.9008392784175546,0.7269632713610124,0.8183274480567339,0.9250004243964393,0.6297153112496134,1.0277064410662085,1.2394796911224386,0.8483053325302611,2.2527771162944004,0.9556403853579638,2.687023463720424,1.1363009372511585,1.343597176091788,0.8761152535683554,0.9125378475881715,0.9943512830604161
7.1 Confirmation,0.6443818579282543,0.6686622141769007,0.57312586626609,0.8967386998990703,0.88045310671962,1.0924536792981663,0.8544438234620967,1.1348653533309507,0.5216958576686304,0.760555957430793,1.025805849015919,0.7488633781676608,1.006355509665684,0.8667801956199136,0.9404568579078414,6.078765367039267,1.626656680160877,0.7578272200391866,1.3824187835465334,0.8687005919938579
7.2 Continuation,0.5512883114862641,0.529194123263746,0.6380736610327059,0.7527737952558661,0.7498719572920588,0.4539945303614295,0.7212807851781974,0.7741933603378698,0.33346523328855726,0.700808578680804,1.3347127280256579,0.9208155659074382,1.2999954506986426,0.9103817148342462,1.0832919434139756,1.7975023616997376,5.092883243003065,1.0603356203991596,1.353858519461173,1.3201511159957822
7.3 Deferred Debugging,0.5793563816330763,0.7441850957898859,0.7471940223605236,1.5012946031571273,0.9597359005865501,1.5067016167986165,0.598922284337963,0.7694874086876816,0.7519205350775612,0.7054744774806471,0.3161165558729342,0.46176861549321035,0.9149060215981296,0.40016345513951623,1.2414937690659313,0.6737663509840749,1.832542867332932,17.361841956640024,3.154990565415319,1.3527309389175974
7.4 Deferred Implementation,1.335053894702832,0.7815300899408523,1.056634317625538,0.792429264204036,0.9512045051523806,0.7105931579389774,0.6053652602232518,1.05080773037385,0.2497398788385209,0.795991468195005,0.883280235757918,1.0042082081130845,0.5064553773158607,0.780574842133346,1.385276947432423,0.9768264556567117,1.9082067393767068,2.9784102084219484,6.4750322086956515,1.4811779443791266
7.5 Sentiment Expression,0.5844804378090181,0.7682004949458446,1.301097139247738,0.8824381930188288,1.0029911268467142,1.1575351342004805,0.6749337443463569,1.0305649747870926,0.9794508945201196,0.8179816151848379,1.2648019589495876,0.9148890043256489,1.4059027192489317,0.7465579319325714,0.8895946409165433,1.1520646088165747,0.8237468710282205,1.0366817365103431,1.030580073501931,8.897058897633098
