cluster_id,cluster_name,position,main_category,pct_messages
0,Planning & Comprehension,first,Code Authoring,17.30
0,Planning & Comprehension,first,Failure Reporting,11.04
0,Planning & Comprehension,first,Inquiry,51.55
0,Planning & Comprehension,first,Context Specification,18.94
0,Planning & Comprehension,first,Validation,4.73
0,Planning & Comprehension,first,Delegation,14.35
0,Planning & Comprehension,first,Workflow Control,6.98
0,Planning & Comprehension,middle,Code Authoring,17.20
0,Planning & Comprehension,middle,Failure Reporting,10.61
0,Planning & Comprehension,middle,Inquiry,51.92
0,Planning & Comprehension,middle,Context Specification,16.08
0,Planning & Comprehension,middle,Validation,4.95
0,Planning & Comprehension,middle,Delegation,14.13
0,Planning & Comprehension,middle,Workflow Control,7.26
0,Planning & Comprehension,last,Code Authoring,16.62
0,Planning & Comprehension,last,Failure Reporting,13.18
0,Planning & Comprehension,last,Inquiry,45.33
0,Planning & Comprehension,last,Context Specification,15.61
0,Planning & Comprehension,last,Validation,4.41
0,Planning & Comprehension,last,Delegation,18.47
0,Planning & Comprehension,last,Workflow Control,9.88
1,Failure-Driven Debugging,first,Code Authoring,32.31
1,Failure-Driven Debugging,first,Failure Reporting,43.77
1,Failure-Driven Debugging,first,Inquiry,13.16
1,Failure-Driven Debugging,first,Context Specification,13.90
1,Failure-Driven Debugging,first,Validation,3.49
1,Failure-Driven Debugging,first,Delegation,9.77
1,Failure-Driven Debugging,first,Workflow Control,8.22
1,Failure-Driven Debugging,middle,Code Authoring,20.46
1,Failure-Driven Debugging,middle,Failure Reporting,59.86
1,Failure-Driven Debugging,middle,Inquiry,10.44
1,Failure-Driven Debugging,middle,Context Specification,10.23
1,Failure-Driven Debugging,middle,Validation,3.42
1,Failure-Driven Debugging,middle,Delegation,7.05
1,Failure-Driven Debugging,middle,Workflow Control,9.86
1,Failure-Driven Debugging,last,Code Authoring,20.03
1,Failure-Driven Debugging,last,Failure Reporting,56.80
1,Failure-Driven Debugging,last,Inquiry,11.35
1,Failure-Driven Debugging,last,Context Specification,8.68
1,Failure-Driven Debugging,last,Validation,3.10
1,Failure-Driven Debugging,last,Delegation,10.41
1,Failure-Driven Debugging,last,Workflow Control,9.47
2,Focused Iterative Refinement,first,Code Authoring,59.80
2,Focused Iterative Refinement,first,Failure Reporting,15.51
2,Focused Iterative Refinement,first,Inquiry,13.51
2,Focused Iterative Refinement,first,Context Specification,16.12
2,Focused Iterative Refinement,first,Validation,3.60
2,Focused Iterative Refinement,first,Delegation,12.72
2,Focused Iterative Refinement,first,Workflow Control,6.60
2,Focused Iterative Refinement,middle,Code Authoring,63.14
2,Focused Iterative Refinement,middle,Failure Reporting,18.13
2,Focused Iterative Refinement,middle,Inquiry,11.14
2,Focused Iterative Refinement,middle,Context Specification,12.37
2,Focused Iterative Refinement,middle,Validation,2.78
2,Focused Iterative Refinement,middle,Delegation,10.44
2,Focused Iterative Refinement,middle,Workflow Control,6.71
2,Focused Iterative Refinement,last,Code Authoring,59.21
2,Focused Iterative Refinement,last,Failure Reporting,17.47
2,Focused Iterative Refinement,last,Inquiry,9.90
2,Focused Iterative Refinement,last,Context Specification,11.87
2,Focused Iterative Refinement,last,Validation,2.82
2,Focused Iterative Refinement,last,Delegation,14.65
2,Focused Iterative Refinement,last,Workflow Control,8.02
3,Continuation-Driven Delegation,first,Code Authoring,15.41
3,Continuation-Driven Delegation,first,Failure Reporting,8.05
3,Continuation-Driven Delegation,first,Inquiry,15.25
3,Continuation-Driven Delegation,first,Context Specification,24.16
3,Continuation-Driven Delegation,first,Validation,5.01
3,Continuation-Driven Delegation,first,Delegation,25.92
3,Continuation-Driven Delegation,first,Workflow Control,37.28
3,Continuation-Driven Delegation,middle,Code Authoring,13.54
3,Continuation-Driven Delegation,middle,Failure Reporting,9.34
3,Continuation-Driven Delegation,middle,Inquiry,13.01
3,Continuation-Driven Delegation,middle,Context Specification,17.92
3,Continuation-Driven Delegation,middle,Validation,3.90
3,Continuation-Driven Delegation,middle,Delegation,17.92
3,Continuation-Driven Delegation,middle,Workflow Control,49.79
3,Continuation-Driven Delegation,last,Code Authoring,13.91
3,Continuation-Driven Delegation,last,Failure Reporting,12.74
3,Continuation-Driven Delegation,last,Inquiry,14.89
3,Continuation-Driven Delegation,last,Context Specification,16.26
3,Continuation-Driven Delegation,last,Validation,3.20
3,Continuation-Driven Delegation,last,Delegation,20.90
3,Continuation-Driven Delegation,last,Workflow Control,45.07
4,Extended Iterative Co-Development,first,Code Authoring,37.29
4,Extended Iterative Co-Development,first,Failure Reporting,25.41
4,Extended Iterative Co-Development,first,Inquiry,20.06
4,Extended Iterative Co-Development,first,Context Specification,13.77
4,Extended Iterative Co-Development,first,Validation,3.98
4,Extended Iterative Co-Development,first,Delegation,12.49
4,Extended Iterative Co-Development,first,Workflow Control,9.24
4,Extended Iterative Co-Development,middle,Code Authoring,36.92
4,Extended Iterative Co-Development,middle,Failure Reporting,29.25
4,Extended Iterative Co-Development,middle,Inquiry,18.08
4,Extended Iterative Co-Development,middle,Context Specification,11.64
4,Extended Iterative Co-Development,middle,Validation,3.38
4,Extended Iterative Co-Development,middle,Delegation,11.18
4,Extended Iterative Co-Development,middle,Workflow Control,10.21
4,Extended Iterative Co-Development,last,Code Authoring,37.65
4,Extended Iterative Co-Development,last,Failure Reporting,28.27
4,Extended Iterative Co-Development,last,Inquiry,16.91
4,Extended Iterative Co-Development,last,Context Specification,11.07
4,Extended Iterative Co-Development,last,Validation,3.86
4,Extended Iterative Co-Development,last,Delegation,12.62
4,Extended Iterative Co-Development,last,Workflow Control,10.30
5,Toolchain-Oriented Operations,first,Code Authoring,16.47
5,Toolchain-Oriented Operations,first,Failure Reporting,9.12
5,Toolchain-Oriented Operations,first,Inquiry,18.24
5,Toolchain-Oriented Operations,first,Context Specification,24.44
5,Toolchain-Oriented Operations,first,Validation,6.20
5,Toolchain-Oriented Operations,first,Delegation,53.01
5,Toolchain-Oriented Operations,first,Workflow Control,9.29
5,Toolchain-Oriented Operations,middle,Code Authoring,18.81
5,Toolchain-Oriented Operations,middle,Failure Reporting,9.24
5,Toolchain-Oriented Operations,middle,Inquiry,12.13
5,Toolchain-Oriented Operations,middle,Context Specification,18.81
5,Toolchain-Oriented Operations,middle,Validation,5.44
5,Toolchain-Oriented Operations,middle,Delegation,55.89
5,Toolchain-Oriented Operations,middle,Workflow Control,9.58
5,Toolchain-Oriented Operations,last,Code Authoring,16.46
5,Toolchain-Oriented Operations,last,Failure Reporting,10.31
5,Toolchain-Oriented Operations,last,Inquiry,11.10
5,Toolchain-Oriented Operations,last,Context Specification,17.64
5,Toolchain-Oriented Operations,last,Validation,5.51
5,Toolchain-Oriented Operations,last,Delegation,57.95
5,Toolchain-Oriented Operations,last,Workflow Control,9.37
